# Hyperreal Slow Performer History

Generated by `cargo bench --bench adversarial_library`. Timings are best-of-five wall-clock probes for deterministic adversarial cases, intended to identify edges for promotion into focused Criterion rows.

Latest run sampled 20000 deterministic cases. The table below intentionally merges the latest run with previous crate-local history by `family + operation + input`, updates each case to its worst observed time, and keeps only the 1000 worst cases. This report is a worst-ever edge finder, not a current-run leaderboard.

## Worst Performers

| Rank | Worst Time | Family | Operation | Input |
| 225 | 16.269 us | `computable` | `generated_tan_p96` | `generated[13086] 4 2/3` |
| 226 | 16.249 us | `computable` | `generated_tan_p96` | `generated[15111] 3 121/178` |
| 227 | 16.239 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[18607] -9/310` |
| 228 | 16.229 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12637] -37/477` |
| 229 | 16.229 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12907] -317/745` |
| 230 | 16.229 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16987] -41/87` |
| 231 | 16.209 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13417] 2 201/365` |
| 232 | 16.209 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13432] 27/823` |
| 233 | 16.199 us | `computable` | `generated_atan_p96` | `generated[2049] 1 301/351` |
| 234 | 16.199 us | `computable` | `generated_tan_p96` | `generated[7371] -4 91/139` |
| 235 | 16.199 us | `real` | `generated_ln_abs_plus_one_build` | `generated[16559] 7 13/57` |
| 236 | 16.189 us | `computable` | `generated_sin_p96` | `generated[18379] -5 21/128` |
| 237 | 16.169 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9877] 191/475` |
| 238 | 16.159 us | `computable` | `generated_atan_p96` | `generated[5064] 1 172/685` |
| 239 | 16.159 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9337] 2 19/69` |
| 240 | 16.139 us | `computable` | `generated_atan_p96` | `generated[15114] 1 405/469` |
| 241 | 16.139 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9622] -1 9/13` |
| 242 | 16.119 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[15892] -1 140/163` |
| 243 | 16.109 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8992] -255/847` |
| 244 | 16.109 us | `computable` | `generated_sin_p96` | `generated[4729] 4 7/47` |
| 245 | 16.109 us | `computable` | `generated_tan_p96` | `generated[3126] -5 4/45` |
| 246 | 16.099 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11752] -1 150/187` |
| 247 | 16.099 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13102] -25/239` |
| 248 | 16.099 us | `computable` | `generated_tan_p96` | `generated[1266] -3 19/172` |
| 249 | 16.099 us | `computable` | `generated_tan_p96` | `generated[9366] -3 231/236` |
| 250 | 16.079 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16282] 1 74/107` |
| 251 | 16.059 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12502] 103/343` |
| 252 | 16.049 us | `computable` | `generated_tan_p96` | `generated[13806] -3 21/212` |
| 253 | 16.029 us | `computable` | `generated_atan_p96` | `generated[7989] 1 224/265` |
| 254 | 16.029 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13237] -215/851` |
| 255 | 16.028 us | `computable` | `generated_atan_p96` | `generated[519] 1 206/247` |
| 256 | 16.019 us | `computable` | `generated_sin_p96` | `generated[5254] 4 23/86` |
| 257 | 16.019 us | `real` | `generated_ln_abs_plus_one_build` | `generated[14699] 6` |
| 258 | 16.009 us | `computable` | `generated_atan_p96` | `generated[17499] -1 141/170` |
| 259 | 16.009 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11242] 77/754` |
